,prefecture,prefecture_href_EN,prefecture_href_ZH,capital,region,majorIsland,numberOfDistricts,numberOfMunicipalities
3,Ishikawa (石川縣),/wiki/Ishikawa_Prefecture,/wiki/%E7%9F%B3%E5%B7%9D%E7%B8%A3,Kanazawa (金澤市),Chūbu (中部),Honshū (本州),5,19
4,Nagano (長野縣),/wiki/Nagano_Prefecture,/wiki/%E9%95%B7%E9%87%8E%E7%B8%A3,Nagano (長野市),Chūbu (中部),Honshū (本州),14,77
5,Niigata (新潟縣),/wiki/Niigata_Prefecture,/wiki/%E6%96%B0%E6%BD%9F%E7%B8%A3,Niigata (新潟市),Chūbu (中部),Honshū (本州),9,30
6,Shizuoka (靜岡縣),/wiki/Shizuoka_Prefecture,/wiki/%E9%9D%9C%E5%B2%A1%E7%B8%A3,Shizuoka (靜岡市),Chūbu (中部),Honshū (本州),5,35
7,Toyama (富山縣),/wiki/Toyama_Prefecture,/wiki/%E5%AF%8C%E5%B1%B1%E7%B8%A3,Toyama (富山市),Chūbu (中部),Honshū (本州),2,15
8,Yamanashi (山梨縣),/wiki/Yamanashi_Prefecture,/wiki/%E5%B1%B1%E6%A2%A8%E7%B8%A3,Kōfu (甲府市),Chūbu (中部),Honshū (本州),5,27
0,Hyōgo (兵庫縣),/wiki/Hy%C5%8Dgo_Prefecture,/wiki/%E5%85%B5%E5%BA%AB%E7%B8%A3,Kōbe (神戶市),Kansai (近畿),Honshū (本州),8,41
1,Kyōto (京都府),/wiki/Kyoto_Prefecture,/wiki/%E4%BA%AC%E9%83%BD%E5%BA%9C,Kyōto (京都市),Kansai (近畿),Honshū (本州),6,26
2,Mie (三重縣),/wiki/Mie_Prefecture,/wiki/%E4%B8%89%E9%87%8D%E7%B8%A3,Tsu (津市),Kansai (近畿),Honshū (本州),7,29
3,Nara (奈良縣),/wiki/Nara_Prefecture,/wiki/%E5%A5%88%E8%89%AF%E7%B8%A3,Nara (奈良市),Kansai (近畿),Honshū (本州),7,39
4,Ōsaka (大阪府),/wiki/Osaka_Prefecture,/wiki/%E5%A4%A7%E9%98%AA%E5%BA%9C,Ōsaka (大阪市),Kansai (近畿),Honshū (本州),5,43
5,Shiga (滋賀縣),/wiki/Shiga_Prefecture,/wiki/%E6%BB%8B%E8%B3%80%E7%B8%A3,Ōtsu (大津市),Kansai (近畿),Honshū (本州),3,19
6,Wakayama (和歌山縣),/wiki/Wakayama_Prefecture,/wiki/%E5%92%8C%E6%AD%8C%E5%B1%B1%E7%B8%A3,Wakayama (和歌山市),Kansai (近畿),Honshū (本州),6,30
0,Hiroshima (廣島縣),/wiki/Hiroshima_Prefecture,/wiki/%E5%BB%A3%E5%B3%B6%E7%B8%A3,Hiroshima (廣島市),Chūgoku (中国),Honshū (本州),5,23
1,Okayama (岡山縣),/wiki/Okayama_Prefecture,/wiki/%E5%B2%A1%E5%B1%B1%E7%B8%A3,Okayama (岡山市),Chūgoku (中国),Honshū (本州),10,27
2,Shimane (島根縣),/wiki/Shimane_Prefecture,/wiki/%E5%B3%B6%E6%A0%B9%E7%B8%A3,Matsue (松江市),Chūgoku (中国),Honshū (本州),5,19
3,Tottori (鳥取縣),/wiki/Tottori_Prefecture,/wiki/%E9%B3%A5%E5%8F%96%E7%B8%A3,Tottori (鳥取市),Chūgoku (中国),Honshū (本州),5,19
4,Yamaguchi (山口縣),/wiki/Yamaguchi_Prefecture,/wiki/%E5%B1%B1%E5%8F%A3%E7%B8%A3,Yamaguchi (山口市),Chūgoku (中国),Honshū (本州),4,19
0,Ehime (愛媛縣),/wiki/Ehime_Prefecture,/wiki/%E6%84%9B%E5%AA%9B%E7%B8%A3,Matsuyama (松山市),Shikoku (四国),Shikoku (四国),7,20
1,Kagawa (香川縣),/wiki/Kagawa_Prefecture,/wiki/%E9%A6%99%E5%B7%9D%E7%B8%A3,Takamatsu (高松市),Shikoku (四国),Shikoku (四国),5,17
2,Kōchi (高知縣),/wiki/K%C5%8Dchi_Prefecture,/wiki/%E9%AB%98%E7%9F%A5%E7%B8%A3,Kōchi (高知市),Shikoku (四国),Shikoku (四国),6,34
3,Tokushima (德島縣),/wiki/Tokushima_Prefecture,/wiki/%E5%BE%B7%E5%B3%B6%E7%B8%A3,Tokushima (德島市),Shikoku (四国),Shikoku (四国),8,24
0,Fukuoka (福岡縣),/wiki/Fukuoka_Prefecture,/wiki/%E7%A6%8F%E5%B2%A1%E7%B8%A3,Fukuoka (福岡市),Kyūshū (九州),Kyūshū (九州),12,60
1,Kagoshima (鹿兒島縣),/wiki/Kagoshima_Prefecture,/wiki/%E9%B9%BF%E5%85%92%E5%B3%B6%E7%B8%A3,Kagoshima (鹿兒島市),Kyūshū (九州),Kyūshū (九州),8,43
2,Kumamoto (熊本縣),/wiki/Kumamoto_Prefecture,/wiki/%E7%86%8A%E6%9C%AC%E7%B8%A3,Kumamoto (熊本市),Kyūshū (九州),Kyūshū (九州),9,45
3,Miyazaki (宮崎縣),/wiki/Miyazaki_Prefecture,/wiki/%E5%AE%AE%E5%B4%8E%E7%B8%A3,Miyazaki (宫崎市),Kyūshū (九州),Kyūshū (九州),6,26
4,Nagasaki (長崎縣),/wiki/Nagasaki_Prefecture,/wiki/%E9%95%B7%E5%B4%8E%E7%B8%A3,Nagasaki (長崎市),Kyūshū (九州),Kyūshū (九州),4,21
5,Ōita (大分縣),/wiki/%C5%8Cita_Prefecture,/wiki/%E5%A4%A7%E5%88%86%E7%B8%A3,Ōita (大分市),Kyūshū (九州),Kyūshū (九州),3,18
6,Saga (佐賀縣),/wiki/Saga_Prefecture,/wiki/%E4%BD%90%E8%B3%80%E7%B8%A3,Saga (佐賀市),Kyūshū (九州),Kyūshū (九州),6,20
0,Hokkaido (北海道),/wiki/Hokkaido,/wiki/%E5%8C%97%E6%B5%B7%E9%81%93,Sapporo (札幌市),Hokkaidō (北海道),Hokkaidō (北海道),66,180
0,Okinawa (沖繩縣),/wiki/Okinawa_Prefecture,/wiki/%E6%B2%96%E7%B9%A9%E7%B8%A3,Naha (那霸市),Kyūshū (冲绳),Ryūkyū Islands (冲绳),5,41
