,prefecture,municipality name,municipalities,region,majorIsland,district
46,Aomori (青森縣),Shichinohe (七戸町),town,Tōhoku (東北),Honshū (本州),Kamikita (上北郡)
47,Aomori (青森縣),Rokunohe (六戸町),town,Tōhoku (東北),Honshū (本州),Kamikita (上北郡)
48,Aomori (青森縣),Yokohama (横浜町),town,Tōhoku (東北),Honshū (本州),Kamikita (上北郡)
49,Aomori (青森縣),Tōhoku (東北町),town,Tōhoku (東北),Honshū (本州),Kamikita (上北郡)
50,Aomori (青森縣),Oirase (おいらせ町),town,Tōhoku (東北),Honshū (本州),Kamikita (上北郡)
51,Aomori (青森縣),Ōma (大間町),town,Tōhoku (東北),Honshū (本州),Shimokita (下北郡)
52,Aomori (青森縣),Sannohe (三戸町),town,Tōhoku (東北),Honshū (本州),Sannohe (三戸郡)
53,Aomori (青森縣),Gonohe (五戸町),town,Tōhoku (東北),Honshū (本州),Sannohe (三戸郡)
54,Aomori (青森縣),Takko (田子町),town,Tōhoku (東北),Honshū (本州),Sannohe (三戸郡)
55,Aomori (青森縣),Nanbu (南部町),town,Tōhoku (東北),Honshū (本州),Sannohe (三戸郡)
56,Aomori (青森縣),Hashikami (階上町),town,Tōhoku (東北),Honshū (本州),Sannohe (三戸郡)
57,Aomori (青森縣),Yomogita (蓬田村),village,Tōhoku (東北),Honshū (本州),Higashitsugaru (東津軽郡)
58,Aomori (青森縣),Nishimeya (西目屋村),village,Tōhoku (東北),Honshū (本州),Nakatsugaru (中津軽郡)
59,Aomori (青森縣),Inakadate (田舎館村),village,Tōhoku (東北),Honshū (本州),Minamitsugaru (南津軽郡)
60,Aomori (青森縣),Rokkasho (六ヶ所村),village,Tōhoku (東北),Honshū (本州),Kamikita (上北郡)
61,Aomori (青森縣),Higashidōri (東通村),village,Tōhoku (東北),Honshū (本州),Shimokita (下北郡)
62,Aomori (青森縣),Kazamaura (風間浦村),village,Tōhoku (東北),Honshū (本州),Shimokita (下北郡)
63,Aomori (青森縣),Sai (佐井村),village,Tōhoku (東北),Honshū (本州),Shimokita (下北郡)
64,Aomori (青森縣),Shingō (新郷村),village,Tōhoku (東北),Honshū (本州),Sannohe (三戸郡)
65,Fukushima (福島縣),Aizuwakamatsu (会津若松市),city,Tōhoku (東北),Honshū (本州),Aizuwakamatsu (会津若松市)
66,Fukushima (福島縣),Fukushima (福島市),city,Tōhoku (東北),Honshū (本州),Fukushima (福島市)
67,Fukushima (福島縣),Kōriyama (郡山市),city,Tōhoku (東北),Honshū (本州),Kōriyama (郡山市)
68,Fukushima (福島縣),Sukagawa (須賀川市),city,Tōhoku (東北),Honshū (本州),Sukagawa (須賀川市)
69,Fukushima (福島縣),Sōma (相馬市),city,Tōhoku (東北),Honshū (本州),Sōma (相馬市)
70,Fukushima (福島縣),Iwaki (いわき市),city,Tōhoku (東北),Honshū (本州),Iwaki (いわき市)
71,Fukushima (福島縣),Tamura (田村市),city,Tōhoku (東北),Honshū (本州),Tamura (田村市)
72,Fukushima (福島縣),Shirakawa (白河市),city,Tōhoku (東北),Honshū (本州),Shirakawa (白河市)
73,Fukushima (福島縣),Nihonmatsu (二本松市),city,Tōhoku (東北),Honshū (本州),Nihonmatsu (二本松市)
74,Fukushima (福島縣),Minamisōma (南相馬市),city,Tōhoku (東北),Honshū (本州),Minamisōma (南相馬市)
75,Fukushima (福島縣),Date (伊達市),city,Tōhoku (東北),Honshū (本州),Date (伊達市)
76,Fukushima (福島縣),Kitakata (喜多方市),city,Tōhoku (東北),Honshū (本州),Kitakata (喜多方市)
77,Fukushima (福島縣),Motomiya (本宮市),city,Tōhoku (東北),Honshū (本州),Motomiya (本宮市)
78,Fukushima (福島縣),Koori (桑折町),town,Tōhoku (東北),Honshū (本州),Date (伊達郡)
79,Fukushima (福島縣),Kunimi (国見町),town,Tōhoku (東北),Honshū (本州),Date (伊達郡)
80,Fukushima (福島縣),Kawamata (川俣町),town,Tōhoku (東北),Honshū (本州),Date (伊達郡)
81,Fukushima (福島縣),Kagamiishi (鏡石町),town,Tōhoku (東北),Honshū (本州),Iwase (岩瀬郡)
82,Fukushima (福島縣),Shimogō (下郷町),town,Tōhoku (東北),Honshū (本州),Minamiaizu (南会津郡)
83,Fukushima (福島縣),Tadami (只見町),town,Tōhoku (東北),Honshū (本州),Minamiaizu (南会津郡)
84,Fukushima (福島縣),Minamiaizu (南会津町),town,Tōhoku (東北),Honshū (本州),Minamiaizu (南会津郡)
85,Fukushima (福島縣),Nishiaizu (西会津町),town,Tōhoku (東北),Honshū (本州),Yama (Japanese: 耶麻郡)
86,Fukushima (福島縣),Bandai (磐梯町),town,Tōhoku (東北),Honshū (本州),Yama (Japanese: 耶麻郡)
87,Fukushima (福島縣),Inawashiro (猪苗代町),town,Tōhoku (東北),Honshū (本州),Yama (Japanese: 耶麻郡)
88,Fukushima (福島縣),Aizubange (会津坂下町),town,Tōhoku (東北),Honshū (本州),Kawanuma (河沼郡)
89,Fukushima (福島縣),Yanaizu (柳津町),town,Tōhoku (東北),Honshū (本州),Kawanuma (河沼郡)
90,Fukushima (福島縣),Mishima (三島町),town,Tōhoku (東北),Honshū (本州),Ōnuma (大沼郡)
91,Fukushima (福島縣),Kaneyama (金山町),town,Tōhoku (東北),Honshū (本州),Ōnuma (大沼郡)
92,Fukushima (福島縣),Aizumisato (会津美里町),town,Tōhoku (東北),Honshū (本州),Ōnuma (大沼郡)
93,Fukushima (福島縣),Yabuki (矢吹町),town,Tōhoku (東北),Honshū (本州),Nishishirakawa (西白河郡)
94,Fukushima (福島縣),Tanagura (棚倉町),town,Tōhoku (東北),Honshū (本州),Higashishirakawa (東白川郡)
95,Fukushima (福島縣),Yamatsuri (矢祭町),town,Tōhoku (東北),Honshū (本州),Higashishirakawa (東白川郡)
96,Fukushima (福島縣),Hanawa (塙町),town,Tōhoku (東北),Honshū (本州),Higashishirakawa (東白川郡)
97,Fukushima (福島縣),Ishikawa (石川町),town,Tōhoku (東北),Honshū (本州),Ishikawa (石川郡)
98,Fukushima (福島縣),Asakawa (浅川町),town,Tōhoku (東北),Honshū (本州),Ishikawa (石川郡)
99,Fukushima (福島縣),Furudono (古殿町),town,Tōhoku (東北),Honshū (本州),Ishikawa (石川郡)
100,Fukushima (福島縣),Miharu (三春町),town,Tōhoku (東北),Honshū (本州),Tamura (田村郡)
101,Fukushima (福島縣),Ono (小野町),town,Tōhoku (東北),Honshū (本州),Tamura (田村郡)
102,Fukushima (福島縣),Hirono (広野町),town,Tōhoku (東北),Honshū (本州),Futaba (双葉郡)
103,Fukushima (福島縣),Naraha (楢葉町),town,Tōhoku (東北),Honshū (本州),Futaba (双葉郡)
104,Fukushima (福島縣),Tomioka (富岡町),town,Tōhoku (東北),Honshū (本州),Futaba (双葉郡)
105,Fukushima (福島縣),Ōkuma (大熊町),town,Tōhoku (東北),Honshū (本州),Futaba (双葉郡)
106,Fukushima (福島縣),Futaba (双葉町),town,Tōhoku (東北),Honshū (本州),Futaba (双葉郡)
107,Fukushima (福島縣),Namie (浪江町),town,Tōhoku (東北),Honshū (本州),Futaba (双葉郡)
108,Fukushima (福島縣),Shinchi (新地町),town,Tōhoku (東北),Honshū (本州),Sōma (相馬郡)
109,Fukushima (福島縣),Ōtama (大玉村),village,Tōhoku (東北),Honshū (本州),Adachi (安達郡)
110,Fukushima (福島縣),Ten'ei (天栄村),village,Tōhoku (東北),Honshū (本州),Iwase (岩瀬郡)
111,Fukushima (福島縣),Hinoemata (檜枝岐村),village,Tōhoku (東北),Honshū (本州),Minamiaizu (南会津郡)
112,Fukushima (福島縣),Kitashiobara (北塩原村),village,Tōhoku (東北),Honshū (本州),Yama (Japanese: 耶麻郡)
113,Fukushima (福島縣),Yugawa (湯川村),village,Tōhoku (東北),Honshū (本州),Kawanuma (河沼郡)
114,Fukushima (福島縣),Shōwa (昭和村),village,Tōhoku (東北),Honshū (本州),Onuma (大沼郡)
115,Fukushima (福島縣),Nishigō (西郷村),village,Tōhoku (東北),Honshū (本州),Nishishirakawa (西白河郡)
116,Fukushima (福島縣),Izumizaki (泉崎村),village,Tōhoku (東北),Honshū (本州),Nishishirakawa (西白河郡)
117,Fukushima (福島縣),Nakajima (中島村),village,Tōhoku (東北),Honshū (本州),Nishishirakawa (西白河郡)
118,Fukushima (福島縣),Samegawa (鮫川村),village,Tōhoku (東北),Honshū (本州),Higashishirakawa (東白川郡)
119,Fukushima (福島縣),Tamakawa (玉川村),village,Tōhoku (東北),Honshū (本州),Ishikawa (石川郡)
120,Fukushima (福島縣),Hirata (平田村),village,Tōhoku (東北),Honshū (本州),Ishikawa (石川郡)
121,Fukushima (福島縣),Kawauchi (川内村),village,Tōhoku (東北),Honshū (本州),Futaba (双葉郡)
122,Fukushima (福島縣),Katsurao (葛尾村),village,Tōhoku (東北),Honshū (本州),Futaba (双葉郡)
123,Fukushima (福島縣),Iitate (飯舘村),village,Tōhoku (東北),Honshū (本州),Soma (相馬郡)
124,Iwate (岩手縣),Morioka (盛岡市),city,Tōhoku (東北),Honshū (本州),Morioka (盛岡市)
125,Iwate (岩手縣),Kamaishi (釜石市),city,Tōhoku (東北),Honshū (本州),Kamaishi (釜石市)
126,Iwate (岩手縣),Ōfunato (大船渡市),city,Tōhoku (東北),Honshū (本州),Ōfunato (大船渡市)
127,Iwate (岩手縣),Rikuzentakata (陸前高田市),city,Tōhoku (東北),Honshū (本州),Rikuzentakata (陸前高田市)
128,Iwate (岩手縣),Kitakami (北上市),city,Tōhoku (東北),Honshū (本州),Kitakami (北上市)
129,Iwate (岩手縣),Miyako (宮古市),city,Tōhoku (東北),Honshū (本州),Miyako (宮古市)
130,Iwate (岩手縣),Hachimantai (八幡平市),city,Tōhoku (東北),Honshū (本州),Hachimantai (八幡平市)
131,Iwate (岩手縣),Ichinoseki (一関市),city,Tōhoku (東北),Honshū (本州),Ichinoseki (一関市)
132,Iwate (岩手縣),Tōno (遠野市),city,Tōhoku (東北),Honshū (本州),Tōno (遠野市)
133,Iwate (岩手縣),Hanamaki (花巻市),city,Tōhoku (東北),Honshū (本州),Hanamaki (花巻市)
134,Iwate (岩手縣),Ninohe (二戸市),city,Tōhoku (東北),Honshū (本州),Ninohe (二戸市)
135,Iwate (岩手縣),Ōshū (奥州市),city,Tōhoku (東北),Honshū (本州),Ōshū (奥州市)
136,Iwate (岩手縣),Kuji (久慈市),city,Tōhoku (東北),Honshū (本州),Kuji (久慈市)
137,Iwate (岩手縣),Takizawa (滝沢市),city,Tōhoku (東北),Honshū (本州),Takizawa (滝沢市)
138,Iwate (岩手縣),Shizukuishi (雫石町),town,Tōhoku (東北),Honshū (本州),Iwate (岩手郡)
139,Iwate (岩手縣),Kuzumaki (葛巻町),town,Tōhoku (東北),Honshū (本州),Iwate (岩手郡)
140,Iwate (岩手縣),Iwate (岩手町),town,Tōhoku (東北),Honshū (本州),Iwate (岩手郡)
141,Iwate (岩手縣),Shiwa (紫波町),town,Tōhoku (東北),Honshū (本州),Shiwa (紫波郡)
142,Iwate (岩手縣),Yahaba (矢巾町),town,Tōhoku (東北),Honshū (本州),Shiwa (紫波郡)
143,Iwate (岩手縣),Nishiwaga (西和賀町),town,Tōhoku (東北),Honshū (本州),Waga (和賀郡)
144,Iwate (岩手縣),Kanegasaki (金ケ崎町),town,Tōhoku (東北),Honshū (本州),Isawa (胆沢郡)
145,Iwate (岩手縣),Hiraizumi (平泉町),town,Tōhoku (東北),Honshū (本州),Nishiiwai (西磐井郡)
146,Iwate (岩手縣),Sumita (住田町),town,Tōhoku (東北),Honshū (本州),Kesen (気仙郡)
147,Iwate (岩手縣),Ōtsuchi (大槌町),town,Tōhoku (東北),Honshū (本州),Kamihei (上閉伊郡)
148,Iwate (岩手縣),Yamada (山田町),town,Tōhoku (東北),Honshū (本州),Shimohei (下閉伊郡)
149,Iwate (岩手縣),Iwaizumi (岩泉町),town,Tōhoku (東北),Honshū (本州),Shimohei (下閉伊郡)
150,Iwate (岩手縣),Karumai (軽米町),town,Tōhoku (東北),Honshū (本州),Kunohe (九戸郡)
151,Iwate (岩手縣),Hirono (洋野町),town,Tōhoku (東北),Honshū (本州),Kunohe (九戸郡)
152,Iwate (岩手縣),Ichinohe (一戸町),town,Tōhoku (東北),Honshū (本州),Ninohe (二戸郡)
153,Iwate (岩手縣),Tanohata (田野畑村),village,Tōhoku (東北),Honshū (本州),Sannohe (三戸郡)
154,Iwate (岩手縣),Fudai (普代村),village,Tōhoku (東北),Honshū (本州),Sannohe (三戸郡)
155,Iwate (岩手縣),Noda (野田村),village,Tōhoku (東北),Honshū (本州),Kunohe (九戸郡)
156,Iwate (岩手縣),Kunohe (九戸村),village,Tōhoku (東北),Honshū (本州),Kunohe (九戸郡)
157,Miyagi (宮城縣),Sendai (仙台市),city,Tōhoku (東北),Honshū (本州),Sendai (仙台市)
158,Miyagi (宮城縣),Ishinomaki (石巻市),city,Tōhoku (東北),Honshū (本州),Ishinomaki (石巻市)
159,Miyagi (宮城縣),Shiogama (塩竈市),city,Tōhoku (東北),Honshū (本州),Shiogama (塩竈市)
160,Miyagi (宮城縣),Shiroishi (白石市),city,Tōhoku (東北),Honshū (本州),Shiroishi (白石市)
161,Miyagi (宮城縣),Natori (名取市),city,Tōhoku (東北),Honshū (本州),Natori (名取市)
162,Miyagi (宮城縣),Kakuda (角田市),city,Tōhoku (東北),Honshū (本州),Kakuda (角田市)
163,Miyagi (宮城縣),Tagajō (多賀城市),city,Tōhoku (東北),Honshū (本州),Tagajō (多賀城市)
164,Miyagi (宮城縣),Iwanuma (岩沼市),city,Tōhoku (東北),Honshū (本州),Iwanuma (岩沼市)
165,Miyagi (宮城縣),Tome (登米市),city,Tōhoku (東北),Honshū (本州),Tome (登米市)
166,Miyagi (宮城縣),Kurihara (栗原市),city,Tōhoku (東北),Honshū (本州),Kurihara (栗原市)
167,Miyagi (宮城縣),Higashimatsushima (東松島市),city,Tōhoku (東北),Honshū (本州),Higashimatsushima (東松島市)
168,Miyagi (宮城縣),Kesennuma (気仙沼市),city,Tōhoku (東北),Honshū (本州),Kesennuma (気仙沼市)
169,Miyagi (宮城縣),Ōsaki (大崎市),city,Tōhoku (東北),Honshū (本州),Ōsaki (大崎市)
170,Miyagi (宮城縣),Tomiya (富谷市),city,Tōhoku (東北),Honshū (本州),Tomiya (富谷市)
171,Miyagi (宮城縣),Zaō (蔵王町),town,Tōhoku (東北),Honshū (本州),Katta (刈田郡)
172,Miyagi (宮城縣),Shichikashuku (七ヶ宿町),town,Tōhoku (東北),Honshū (本州),Katta (刈田郡)
173,Miyagi (宮城縣),Ōgawara (大河原町),town,Tōhoku (東北),Honshū (本州),Shibata (柴田郡)
174,Miyagi (宮城縣),Murata (村田町),town,Tōhoku (東北),Honshū (本州),Shibata (柴田郡)
175,Miyagi (宮城縣),Shibata (柴田町),town,Tōhoku (東北),Honshū (本州),Shibata (柴田郡)
176,Miyagi (宮城縣),Kawasaki (川崎町),town,Tōhoku (東北),Honshū (本州),Shibata (柴田郡)
177,Miyagi (宮城縣),Marumori (丸森町),town,Tōhoku (東北),Honshū (本州),Igu (伊具郡)
178,Miyagi (宮城縣),Watari (亘理町),town,Tōhoku (東北),Honshū (本州),Watari (亘理郡)
179,Miyagi (宮城縣),Yamamoto (山元町),town,Tōhoku (東北),Honshū (本州),Watari (亘理郡)
180,Miyagi (宮城縣),Matsushima (松島町),town,Tōhoku (東北),Honshū (本州),Miyagi (宮城郡)
181,Miyagi (宮城縣),Shichigahama (七ヶ浜町),town,Tōhoku (東北),Honshū (本州),Miyagi (宮城郡)
182,Miyagi (宮城縣),Rifu (利府町),town,Tōhoku (東北),Honshū (本州),Miyagi (宮城郡)
183,Miyagi (宮城縣),Taiwa (大和町),town,Tōhoku (東北),Honshū (本州),Kurokawa (黒川郡)
184,Miyagi (宮城縣),Ōsato (大郷町),town,Tōhoku (東北),Honshū (本州),Kurokawa (黒川郡)
185,Miyagi (宮城縣),Shikama (色麻町),town,Tōhoku (東北),Honshū (本州),Kami (加美郡)
186,Miyagi (宮城縣),Kami (加美町),town,Tōhoku (東北),Honshū (本州),Kami (加美郡)
187,Miyagi (宮城縣),Wakuya (涌谷町),town,Tōhoku (東北),Honshū (本州),Tōda (遠田郡)
188,Miyagi (宮城縣),Misato (美里町),town,Tōhoku (東北),Honshū (本州),Tōda (遠田郡)
189,Miyagi (宮城縣),Onagawa (女川町),town,Tōhoku (東北),Honshū (本州),Oshika (牡鹿郡)
190,Miyagi (宮城縣),Minamisanriku (南三陸町),town,Tōhoku (東北),Honshū (本州),Motoyoshi (本吉郡)
191,Miyagi (宮城縣),Ōhira (大衡村),village,Tōhoku (東北),Honshū (本州),Kurokawa (黒川郡)
192,Yamagata (山形縣),Yamagata (山形市),city,Tōhoku (東北),Honshū (本州),Yamagata (山形市)
193,Yamagata (山形縣),Yonezawa (米沢市),city,Tōhoku (東北),Honshū (本州),Yonezawa (米沢市)
194,Yamagata (山形縣),Shinjō (新庄市),city,Tōhoku (東北),Honshū (本州),Shinjō (新庄市)
195,Yamagata (山形縣),Sagae (寒河江市),city,Tōhoku (東北),Honshū (本州),Sagae (寒河江市)
196,Yamagata (山形縣),Kaminoyama (上山市),city,Tōhoku (東北),Honshū (本州),Kaminoyama (上山市)
197,Yamagata (山形縣),Murayama (村山市),city,Tōhoku (東北),Honshū (本州),Murayama (村山市)
198,Yamagata (山形縣),Nagai (長井市),city,Tōhoku (東北),Honshū (本州),Nagai (長井市)
199,Yamagata (山形縣),Tendō (天童市),city,Tōhoku (東北),Honshū (本州),Tendō (天童市)
200,Yamagata (山形縣),Higashine (東根市),city,Tōhoku (東北),Honshū (本州),Higashine (東根市)
201,Yamagata (山形縣),Obanazawa (尾花沢市),city,Tōhoku (東北),Honshū (本州),Obanazawa (尾花沢市)
202,Yamagata (山形縣),Nan'yō (南陽市),city,Tōhoku (東北),Honshū (本州),Nan'yō (南陽市)
203,Yamagata (山形縣),Tsuruoka (鶴岡市),city,Tōhoku (東北),Honshū (本州),Tsuruoka (鶴岡市)
204,Yamagata (山形縣),Sakata (酒田市),city,Tōhoku (東北),Honshū (本州),Sakata (酒田市)
205,Yamagata (山形縣),Yamanobe (山辺町),town,Tōhoku (東北),Honshū (本州),Higashimurayama (東村山郡)
206,Yamagata (山形縣),Nakayama (中山町),town,Tōhoku (東北),Honshū (本州),Higashimurayama (東村山郡)
207,Yamagata (山形縣),Kahoku (河北町),town,Tōhoku (東北),Honshū (本州),Nishimurayama (西村山郡)
208,Yamagata (山形縣),Nishikawa (西川町),town,Tōhoku (東北),Honshū (本州),Nishimurayama (西村山郡)
209,Yamagata (山形縣),Asahi (朝日町),town,Tōhoku (東北),Honshū (本州),Nishimurayama (西村山郡)
210,Yamagata (山形縣),Ōe (大江町),town,Tōhoku (東北),Honshū (本州),Nishimurayama (西村山郡)
211,Yamagata (山形縣),Ōishida (大石田町),town,Tōhoku (東北),Honshū (本州),Kitamurayama (北村山郡)
212,Yamagata (山形縣),Kaneyama (金山町),town,Tōhoku (東北),Honshū (本州),Mogami (最上郡)
213,Yamagata (山形縣),Mogami (最上町),town,Tōhoku (東北),Honshū (本州),Mogami (最上郡)
214,Yamagata (山形縣),Funagata (舟形町),town,Tōhoku (東北),Honshū (本州),Mogami (最上郡)
215,Yamagata (山形縣),Mamurogawa (真室川町),town,Tōhoku (東北),Honshū (本州),Mogami (最上郡)
216,Yamagata (山形縣),Takahata (高畠町),town,Tōhoku (東北),Honshū (本州),Higashiokitama (東置賜郡)
217,Yamagata (山形縣),Kawanishi (川西町),town,Tōhoku (東北),Honshū (本州),Higashiokitama (東置賜郡)
218,Yamagata (山形縣),Oguni (小国町),town,Tōhoku (東北),Honshū (本州),Nishiokitama (西置賜郡)
219,Yamagata (山形縣),Shirataka (白鷹町),town,Tōhoku (東北),Honshū (本州),Nishiokitama (西置賜郡)
220,Yamagata (山形縣),Iide (飯豊町),town,Tōhoku (東北),Honshū (本州),Nishiokitama (西置賜郡)
221,Yamagata (山形縣),Mikawa (三川町),town,Tōhoku (東北),Honshū (本州),Higashitagawa (東田川郡)
222,Yamagata (山形縣),Shōnai (庄内町),town,Tōhoku (東北),Honshū (本州),Higashitagawa (東田川郡)
223,Yamagata (山形縣),Yuza (遊佐町),town,Tōhoku (東北),Honshū (本州),Akumi (飽海郡)
224,Yamagata (山形縣),Ōkura (大蔵村),village,Tōhoku (東北),Honshū (本州),Ogachi (雄勝郡)
225,Yamagata (山形縣),Sakegawa (鮭川村),village,Tōhoku (東北),Honshū (本州),Ogachi (雄勝郡)
226,Yamagata (山形縣),Tozawa (戸沢村),village,Tōhoku (東北),Honshū (本州),Ogachi (雄勝郡)
227,Chiba (千葉縣),Chiba (千葉市),city,Kantō (关東),Honshū (本州),Chiba (千葉市)
228,Chiba (千葉縣),Chōshi (銚子市),city,Kantō (关東),Honshū (本州),Chōshi (銚子市)
229,Chiba (千葉縣),Ichikawa (市川市),city,Kantō (关東),Honshū (本州),Ichikawa (市川市)
230,Chiba (千葉縣),Funabashi (船橋市),city,Kantō (关東),Honshū (本州),Funabashi (船橋市)
231,Chiba (千葉縣),Tateyama (館山市),city,Kantō (关東),Honshū (本州),Tateyama (館山市)
232,Chiba (千葉縣),Kisarazu (木更津市),city,Kantō (关東),Honshū (本州),Kisarazu (木更津市)
233,Chiba (千葉縣),Matsudo (松戸市),city,Kantō (关東),Honshū (本州),Matsudo (松戸市)
234,Chiba (千葉縣),Noda (野田市),city,Kantō (关東),Honshū (本州),Noda (野田市)
235,Chiba (千葉縣),Mobara (茂原市),city,Kantō (关東),Honshū (本州),Mobara (茂原市)
236,Chiba (千葉縣),Narita (成田市),city,Kantō (关東),Honshū (本州),Narita (成田市)
237,Chiba (千葉縣),Sakura (佐倉市),city,Kantō (关東),Honshū (本州),Sakura (佐倉市)
238,Chiba (千葉縣),Tōgane (東金市),city,Kantō (关東),Honshū (本州),Tōgane (東金市)
239,Chiba (千葉縣),Narashino (習志野市),city,Kantō (关東),Honshū (本州),Narashino (習志野市)
240,Chiba (千葉縣),Kashiwa (柏市),city,Kantō (关東),Honshū (本州),Kashiwa (柏市)
241,Chiba (千葉縣),Katsuura (勝浦市),city,Kantō (关東),Honshū (本州),Katsuura (勝浦市)
242,Chiba (千葉縣),Ichihara (市原市),city,Kantō (关東),Honshū (本州),Ichihara (市原市)
243,Chiba (千葉縣),Nagareyama (流山市),city,Kantō (关東),Honshū (本州),Nagareyama (流山市)
